Date,Time,League,Matchup,Services
2026-03-22,5:00 PM,NBA,Denver Nuggets @ Portland Trail Blazers @,"['Altitude', 'BlazerVision', 'NBA TV', 'KUNP Portland', 'NBA TV Canada']"
2026-03-22,6:00 PM,NBA,Sacramento Kings @ Brooklyn Nets @,"['NBA League Pass', 'NBC Sports California', 'YES', 'Gotham Sports App']"
2026-03-22,7:30 PM,NBA,New York Knicks @ Washington Wizards @,"['NBA League Pass', 'MSG Sportsnet', 'Monumental Sports Network', 'Gotham Sports App']"
2026-03-22,8:00 PM,NBA,Boston Celtics @ Minnesota Timberwolves @,"['Peacock', 'NBC', 'Telemundo']"
2026-03-22,9:00 PM,NBA,Phoenix Suns @ Toronto Raptors @,"['NBA League Pass', ""Arizona's Family Sports"", 'Suns+', ""Arizona's Family 3TV"", 'Sportsnet']"
2026-03-22,12:10 PM,MCBB,Miami @ Purdue,"['Paramount+', 'CBS']"
2026-03-22,2:45 PM,MCBB,Kentucky @ Iowa State,"['Paramount+', 'CBS']"
2026-03-22,4:30 PM,MCBB,Illinois State @ Wake Forest,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-22,5:15 PM,MCBB,St. John's @ Kansas,"['Paramount+', 'CBS']"
2026-03-22,6:10 PM,MCBB,Tennessee @ Virginia,"['Sling TV', 'HBO Max', 'TNT']"
2026-03-22,6:30 PM,MCBB,Seattle U @ Auburn,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-22,7:00 PM,MCBB,UNLV @ Tulsa,"['ESPN Unlimited', 'ESPN U']"
2026-03-22,7:10 PM,MCBB,Iowa @ Florida,"['Sling TV', 'HBO Max', 'TBS']"
2026-03-22,7:50 PM,MCBB,Utah State @ Arizona,"['Sling TV', 'HBO Max', 'truTV']"
2026-03-22,8:00 PM,MCBB,George Washington @ New Mexico,"['ESPN Select', 'ESPN Unlimited']"
2026-03-22,8:30 PM,MCBB,Wichita State @ Oklahoma State,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-22,8:45 PM,MCBB,UCLA @ UConn,"['Sling TV', 'HBO Max', 'TNT']"
2026-03-22,9:00 PM,MCBB,Saint Joseph's @ California,"['ESPN Unlimited', 'ESPN U']"
2026-03-22,9:45 PM,MCBB,Texas Tech @ Alabama,"['Sling TV', 'HBO Max', 'TBS']"
2026-03-22,12:00 PM,WCBB,Maryland @ North Carolina,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-22,12:00 PM,WCBB,Miami @ Wisconsin @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-22,1:00 PM,WCBB,NC State @ Michigan,"['ESPN Unlimited', 'ABC']"
2026-03-22,2:00 PM,WCBB,Mississippi @ Minnesota,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-22,2:00 PM,WCBB,Harvard @ Eastern Kentucky @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-22,2:00 PM,WCBB,North Dakota State @ Columbia @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-22,2:00 PM,WCBB,Army @ NJIT @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-22,2:00 PM,WCBB,Illinois State @ UT Rio Grande Valley @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-22,3:00 PM,WCBB,Texas Tech @ LSU,"['ESPN Unlimited', 'ABC']"
2026-03-22,4:00 PM,WCBB,Baylor @ Duke,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-22,5:00 PM,WCBB,San Diego State @ McNeese @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-22,5:00 PM,WCBB,Stanford @ Quinnipiac @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-22,5:00 PM,WCBB,Pepperdine @ Southern Utah @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-22,6:00 PM,WCBB,Oregon @ Texas,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-22,6:00 PM,WCBB,Lamar @ Portland @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-22,6:30 PM,WCBB,Kansas @ Rice @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-22,7:00 PM,WCBB,Kansas State @ California @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-22,8:00 PM,WCBB,Michigan State @ Oklahoma,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-22,10:00 PM,WCBB,Washington @ TCU,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
